timestamp,P_X,P_Y,P_Z,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,s_variance_m_s,c_variance_rad,fix_quality,sAcc,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,status0,status1,fix_type,vel_ned_valid,satellites_used,gps_kind
37377528,0,0,0,0,282419049,1129934201,133048,116316,368282000,0.0,0.0,0,3,0.638,1.253,0.79999995,3.8,0,0,0.03,0.01,0.01,0.02,0.7863303,-37377528,13,13,3,1,15,3
37575777,0,0,0,0,282419052,1129934202,133070,116337,368282200,0.0,0.0,0,3,0.633,1.243,0.79999995,3.8,0,0,0.03,0.03,-0.01,0.01,0.7804119,-37575777,13,13,3,1,15,3
37791739,0,0,0,0,282419036,1129934197,132946,116213,368282400,0.0,0.0,0,3,0.619,1.1880001,0.79999995,2.3799999,0,0,0.049999997,0.02,0.01,-0.04,0.8214985,-37791739,13,13,3,1,15,3
37993526,0,0,0,0,282419024,1129934194,132847,116115,368282600,0.0,0.0,0,3,0.60700005,1.1450001,0.79999995,2.3799999,0,0,0.02,0.0,0.01,0.02,0.8581183,-37993526,13,13,3,1,15,3
38196526,0,0,0,0,282419015,1129934191,132770,116037,368282800,0.0,0.0,0,3,0.596,1.1060001,0.79999995,2.3799999,0,0,0.03,0.02,0.0,-0.02,0.88067514,-38196526,13,13,3,1,15,3
38397533,0,0,0,0,282419007,1129934188,132703,115970,368283000,0.0,0.0,0,3,0.586,1.0710001,0.79999995,2.3799999,0,0,0.04,0.02,-0.01,-0.02,0.9123481,-38397533,13,13,3,1,15,3
38587606,0,0,0,0,282419000,1129934186,132637,115905,368283200,0.0,0.0,0,3,0.57600003,1.039,0.79999995,2.3799999,0,0,0.04,0.02,0.01,0.03,0.94565547,-38587606,13,13,3,1,15,3
38791671,0,0,0,0,282418994,1129934183,132579,115846,368283400,0.0,0.0,0,3,0.56700003,1.0090001,0.79999995,2.3799999,0,0,0.02,0.01,0.0,-0.01,0.9718654,-38791671,13,13,3,1,15,3
38992716,0,0,0,0,282418989,1129934181,132522,115789,368283600,0.0,0.0,0,3,0.558,0.98300004,0.79999995,2.3799999,0,0,0.11,-0.01,-0.03,0.11,0.9981415,-38992716,13,13,3,1,15,3
39194793,0,0,0,0,282418984,1129934179,132475,115742,368283800,0.0,0.0,0,3,0.55,0.95800006,0.79999995,2.3799999,0,0,0.03,-0.02,0.0,0.01,1.0259277,-39194793,13,13,3,1,15,3
39395531,0,0,0,0,282418980,1129934178,132438,115705,368284000,0.0,0.0,0,3,0.54200006,0.93500006,0.79999995,2.3799999,0,0,0.07,0.049999997,0.02,-0.03,1.053477,-39395531,13,13,3,1,15,3
39598672,0,0,0,0,282418976,1129934176,132390,115657,368284200,0.0,0.0,0,3,0.53400004,0.91300005,0.79999995,2.3799999,0,0,0.03,0.03,0.0,0.01,1.0776325,-39598672,13,13,3,1,15,3
39790623,0,0,0,0,282418972,1129934173,132340,115607,368284400,0.0,0.0,0,3,0.527,0.89300007,0.79999995,2.3799999,0,0,0.03,0.02,-0.02,0.0,1.1063976,-39790623,13,13,3,1,15,3
39991570,0,0,0,0,282418969,1129934172,132306,115574,368284600,0.0,0.0,0,3,0.52000004,0.87500006,0.79999995,2.3799999,0,0,0.03,0.02,-0.01,0.01,1.1307594,-39991570,13,13,3,1,15,3
40191539,0,0,0,0,282418967,1129934170,132273,115540,368284800,0.0,0.0,0,3,0.513,0.85700005,0.79999995,2.3799999,0,0,0.06,0.01,0.0,-0.06,1.1274273,-40191539,13,13,3,1,15,3
40394614,0,0,0,0,282418965,1129934169,132245,115512,368285000,0.0,0.0,0,3,0.507,0.841,0.79999995,2.3799999,0,0,0.02,0.01,0.0,0.02,1.13875,-40394614,13,13,3,1,15,3
40587543,0,0,0,0,282418963,1129934167,132219,115486,368285200,0.0,0.0,0,3,0.50100005,0.82500005,0.79999995,2.3799999,0,0,0.04,0.0,0.0,-0.04,1.1517183,-40587543,13,13,3,1,15,3
40789528,0,0,0,0,282418962,1129934166,132199,115466,368285400,0.0,0.0,0,3,0.49500003,0.81000006,0.79999995,2.3799999,0,0,0.03,-0.01,0.0,0.02,1.1490034,-40789528,13,13,3,1,15,3
40990706,0,0,0,0,282418960,1129934165,132171,115439,368285600,0.0,0.0,0,3,0.48900002,0.79700005,0.79999995,2.3799999,0,0,0.02,0.02,0.0,0.0,1.1450851,-40990706,13,13,3,1,15,3
41193786,0,0,0,0,282418959,1129934164,132155,115422,368285800,0.0,0.0,0,3,0.48400003,0.78300005,0.79999995,2.3799999,0,0,0.03,0.0,0.0,0.03,1.146129,-41193786,13,13,3,1,15,3
41397531,0,0,0,0,282418958,1129934163,132133,115400,368286000,0.0,0.0,0,3,0.47900003,0.771,0.79999995,2.3799999,0,0,0.049999997,0.02,0.02,-0.03,1.1449335,-41397531,13,13,3,1,15,3
41588585,0,0,0,0,282418957,1129934162,132113,115380,368286200,0.0,0.0,0,3,0.47400004,0.75900006,0.79999995,2.3799999,0,0,0.03,0.0,0.01,-0.03,1.1464442,-41588585,13,13,3,1,15,3
41790039,0,0,0,0,282418956,1129934161,132094,115362,368286400,0.0,0.0,0,3,0.469,0.74700004,0.79999995,2.3799999,0,0,0.02,0.01,0.0,-0.01,1.1498653,-41790039,13,13,3,1,15,3
41993562,0,0,0,0,282418955,1129934160,132074,115341,368286600,0.0,0.0,0,3,0.46400002,0.73600006,0.79999995,2.3799999,0,0,0.049999997,0.03,0.0,0.04,1.1486385,-41993562,13,13,3,1,15,3
42195542,0,0,0,0,282418953,1129934159,132054,115322,368286800,0.0,0.0,0,3,0.45900002,0.726,0.79999995,2.3799999,0,0,0.01,0.01,0.0,-0.01,1.1365583,-42195542,13,13,3,1,15,3
42395526,0,0,0,0,282418952,1129934158,132028,115296,368287000,0.0,0.0,0,3,0.455,0.716,0.79999995,2.3799999,0,0,0.03,0.0,0.0,-0.03,1.1378014,-42395526,13,13,3,1,15,3
42588528,0,0,0,0,282418950,1129934157,132004,115271,368287200,0.0,0.0,0,3,0.45100003,0.70600003,0.79999995,2.3799999,0,0,0.049999997,0.0,-0.01,0.049999997,1.1243707,-42588528,13,13,3,1,15,3
42793347,0,0,0,0,282418949,1129934156,131984,115251,368287400,0.0,0.0,0,3,0.44700003,0.697,0.79999995,2.3799999,0,0,0.06,0.02,0.0,-0.049999997,1.1290512,-42793347,13,13,3,1,15,3
42992564,0,0,0,0,282418948,1129934155,131972,115239,368287600,0.0,0.0,0,3,0.44200003,0.688,0.79999995,2.3799999,0,0,0.04,0.03,0.0,-0.02,1.130259,-42992564,13,13,3,1,15,3
43193394,0,0,0,0,282418946,1129934154,131955,115222,368287800,0.0,0.0,0,3,0.439,0.679,0.79999995,2.3799999,0,0,0.07,-0.01,-0.01,0.07,1.1281066,-43193394,13,13,3,1,15,3
43396737,0,0,0,0,282418946,1129934154,131944,115211,368288000,0.0,0.0,0,3,0.43500003,0.671,0.79999995,2.3799999,0,0,0.06,0.03,0.01,-0.049999997,1.1142037,-43396737,13,13,3,1,15,3
43573526,0,0,0,0,282418945,1129934153,131926,115193,368288200,0.0,0.0,0,3,0.43100002,0.66300005,0.79999995,2.3799999,0,0,0.049999997,0.03,-0.01,0.03,1.1142037,-43573526,13,13,3,1,15,3
43795539,0,0,0,0,282418944,1129934152,131911,115178,368288400,0.0,0.0,0,3,0.42700002,0.65500003,0.79999995,2.3799999,0,0,0.01,0.0,-0.01,0.0,1.1134614,-43795539,13,13,3,1,15,3
43987721,0,0,0,0,282418944,1129934152,131898,115165,368288600,0.0,0.0,0,3,0.42400002,0.648,0.79999995,2.3799999,0,0,0.01,0.0,0.01,0.0,1.0924755,-43987721,13,13,3,1,15,3
44189569,0,0,0,0,282418944,1129934151,131887,115154,368288800,0.0,0.0,0,3,0.42000002,0.64100003,0.79999995,2.3799999,0,0,0.07,0.06,0.01,-0.01,1.0760654,-44189569,13,13,3,1,15,3
44392674,0,0,0,0,282418943,1129934150,131878,115145,368289000,0.0,0.0,0,3,0.41700003,0.634,0.79999995,2.3799999,0,0,0.049999997,-0.04,-0.02,0.0,1.056269,-44392674,13,13,3,1,15,3
44592572,0,0,0,0,282418943,1129934150,131869,115136,368289200,0.0,0.0,0,3,0.41400003,0.62700003,0.79999995,2.3799999,0,0,0.03,-0.01,0.0,-0.03,1.0477735,-44592572,13,13,3,1,15,3
44796562,0,0,0,0,282418944,1129934150,131863,115131,368289400,0.0,0.0,0,3,0.41000003,0.62100005,0.79999995,2.3799999,0,0,0.03,-0.01,0.0,-0.03,1.0477735,-44796562,13,13,3,1,15,3
44989610,0,0,0,0,282418944,1129934149,131858,115126,368289600,0.0,0.0,0,3,0.407,0.615,0.79999995,2.3799999,0,0,0.04,0.01,0.0,0.04,1.0131601,-44989610,13,13,3,1,15,3
45191542,0,0,0,0,282418944,1129934149,131857,115124,368289800,0.0,0.0,0,3,0.404,0.60800004,0.79999995,2.3799999,0,0,0.049999997,0.02,0.02,-0.04,0.99856406,-45191542,13,13,3,1,15,3
45394759,0,0,0,0,282418943,1129934148,131858,115125,368290000,0.0,0.0,0,3,0.40100002,0.60200006,0.79999995,2.3799999,0,0,0.03,-0.03,0.0,0.0,0.97461253,-45394759,13,13,3,1,15,3
45598664,0,0,0,0,282418943,1129934148,131860,115127,368290200,0.0,0.0,0,3,0.39800003,0.597,0.79999995,2.3799999,0,0,0.03,0.0,0.0,-0.02,0.9557405,-45598664,13,13,3,1,15,3
45800526,0,0,0,0,282418943,1129934148,131857,115125,368290400,0.0,0.0,0,3,0.39600003,0.591,0.79999995,2.3799999,0,0,0.03,0.0,0.0,-0.02,0.9373117,-45800526,13,13,3,1,15,3
45994717,0,0,0,0,282418942,1129934147,131852,115120,368290600,0.0,0.0,0,3,0.393,0.586,0.79999995,2.3799999,0,0,0.06,-0.01,-0.02,0.06,0.9289022,-45994717,13,13,3,1,15,3
46199531,0,0,0,0,282418942,1129934147,131852,115119,368290800,0.0,0.0,0,3,0.39000002,0.58000004,0.79999995,2.3799999,0,0,0.02,0.0,0.0,-0.01,0.89938855,-46199531,13,13,3,1,15,3
46390650,0,0,0,0,282418942,1129934147,131851,115118,368291000,0.0,0.0,0,3,0.38700002,0.57500005,0.79999995,2.3799999,0,0,0.03,0.02,-0.01,0.01,0.8887818,-46390650,13,13,3,1,15,3
46594798,0,0,0,0,282418942,1129934147,131851,115119,368291200,0.0,0.0,0,3,0.38500002,0.57000005,0.79999995,2.3799999,0,0,0.01,0.01,0.0,0.0,0.8889951,-46594798,13,13,3,1,15,3
