timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
717811237,-0.0017071135,-0.0024550436,0.0009241274,4015,0,0.21323898,0.27796504,-9.626592,4015
717815222,-0.0014141606,-0.0016190639,0.001888978,3985,0,0.21258841,0.28531834,-9.636982,3985
717819222,0.0003403117,-0.00068125187,0.0038881442,4000,0,0.20889822,0.28070346,-9.622802,4000
717823222,0.002110333,-0.0037394257,0.001520213,4000,0,0.2117312,0.28202432,-9.642229,4000
717827222,-0.0013244202,-0.00037738917,0.0034050185,4000,0,0.20915045,0.284493,-9.652207,4000
717831273,-0.0007112447,3.2728727e-05,0.004502453,4051,0,0.21184243,0.28721482,-9.666034,4051
717835222,3.6050023e-05,-0.00057192345,0.0034288706,3949,0,0.21115892,0.2860894,-9.658219,3949
717839222,-0.0015275005,-0.0014224882,0.0025451493,4000,0,0.20512442,0.26679215,-9.647862,4000
717843222,-0.00147181,-0.0007535345,0.00041259,4000,0,0.2016259,0.2809523,-9.638235,4000
717847225,-0.0017568839,-0.0017380567,0.002845898,4003,0,0.20236194,0.29693002,-9.652138,4003
717851225,-0.0027880343,-0.00161267,0.0015491567,4000,0,0.20839088,0.30189332,-9.663394,4000
717855222,-0.00061184046,-0.00062246935,-0.00040878766,3997,0,0.21023649,0.283274,-9.6603,3997
717859222,-0.00075544027,-0.0013964687,0.00095834705,4000,0,0.20217207,0.28868777,-9.642355,4000
717863222,-0.0010974301,-0.0011962937,0.0021257966,4000,0,0.19646282,0.29827335,-9.646122,4000
717867222,-0.002391144,-0.0024791507,0.0025986205,4000,0,0.19118495,0.30374387,-9.665492,4000
717871222,-0.0022806136,-0.00024698378,0.0026458292,4000,0,0.19738403,0.2852448,-9.664851,4000
717875222,-0.0019983808,6.3862535e-06,-0.00010694978,4000,0,0.212718,0.27634382,-9.644263,4000
717879222,-0.0008952777,-0.0017390458,0.002215165,4000,0,0.20118031,0.28030896,-9.623968,4000
717883222,0.0006116145,0.00072057894,0.0018778548,4000,0,0.20831905,0.2777108,-9.638527,4000
717887230,-0.00073633663,0.0014923782,0.0007945603,4008,0,0.21612665,0.27492046,-9.645238,4008
717891222,0.00018757161,0.0014684928,0.0018801544,3992,0,0.21329123,0.28653142,-9.626907,3992
717895222,0.000926042,8.2484665e-05,0.0020876632,4000,0,0.2052842,0.27806714,-9.633414,4000
717899261,-0.002173675,-0.00024624102,0.0025455265,4039,0,0.21370415,0.27553698,-9.623718,4039
717903222,-0.0018402293,-0.00056728354,0.002429183,3961,0,0.20655033,0.28236195,-9.606213,3961
717907222,-6.0071332e-05,-0.0005607789,0.0028965792,4000,0,0.19938797,0.28573447,-9.606314,4000
717911222,-0.00035260897,-0.0015170138,0.0021401425,4000,0,0.19987367,0.28655025,-9.628162,4000
717915247,0.0013683086,-0.0018266862,0.0013306079,4025,0,0.19944789,0.27218822,-9.65123,4025
717919227,-0.00016932664,-0.001961373,0.0032016656,3980,0,0.20163268,0.28196225,-9.640075,3980
717924021,-2.9914207e-05,-0.0015631432,0.0028713048,4794,0,0.21046506,0.28767347,-9.643053,4794
717928827,-0.0005772148,-0.0011303447,0.003487848,4806,0,0.21922243,0.2955744,-9.641518,4806
717932826,-0.00065569096,0.0013715359,0.001428201,3999,0,0.21471941,0.28748313,-9.627309,3999
717936822,-0.0012924555,0.002119367,0.0015440105,3996,0,0.21402998,0.29814872,-9.636674,3996
717940821,0.0005219508,0.0004227488,0.00080528005,3999,0,0.21030103,0.29219028,-9.622705,3999
717944822,0.00060480676,-0.0003443818,0.002167737,4001,0,0.19981636,0.2874021,-9.621954,4001
717948853,-0.00025082764,0.00019005107,0.0019544763,4031,0,0.20068792,0.2748666,-9.642555,4031
717952863,0.0003328025,0.0009300487,0.001135334,4010,0,0.20454416,0.265797,-9.640179,4010
717956821,-6.3132014e-05,-0.00045873303,0.0030204013,3958,0,0.20329244,0.28179914,-9.652077,3958
717960822,-0.0012812689,0.00030661066,0.0011921636,4001,0,0.20973888,0.27953514,-9.659918,4001
717964822,-0.0029181945,-0.0012047814,0.0026149454,4000,0,0.2194619,0.28144827,-9.664873,4000
717968854,-5.0133374e-05,0.0020972232,0.0026246703,4032,0,0.2119672,0.30346778,-9.6741495,4032
717972866,-0.00024728032,0.0011247125,0.001980246,4012,0,0.20359486,0.28554252,-9.666495,4012
717976822,-0.00044183317,-0.0005604142,0.0014068992,3956,0,0.19518867,0.2807935,-9.654089,3956
717980821,-0.0021225906,0.0024436798,0.0006706099,3999,0,0.20557272,0.2792465,-9.647137,3999
717984821,0.00059010985,0.0002941812,0.002612126,4000,0,0.21015649,0.27192667,-9.637286,4000
717988821,-0.000893205,0.00038623431,0.0022628575,4000,0,0.213164,0.27659035,-9.661691,4000
717992847,-0.0019343433,-0.00065088016,0.0014709544,4026,0,0.21843983,0.28901425,-9.662834,4026
717996821,-0.0006578623,-0.0019372605,0.0018113855,3974,0,0.22301194,0.2866132,-9.630431,3974
718000828,0.0011547769,-0.00024026439,0.0015549696,4007,0,0.2070642,0.29172456,-9.624111,4007
718004821,-0.0009967039,0.0019909425,0.002500028,3993,0,0.21629089,0.29521397,-9.633271,3993
718008821,-0.0015381023,-0.0020539835,0.0027587453,4000,0,0.22588976,0.28132322,-9.653437,4000
718012821,-5.7272366e-05,-0.001850722,0.003094586,4000,0,0.20933113,0.28200626,-9.641331,4000
718016821,-0.002085446,-0.000154187,0.0032931333,4000,0,0.2096745,0.29290456,-9.63784,4000
718020828,-0.00021630096,-0.0010645741,0.0007686766,4007,0,0.2047479,0.29847366,-9.629764,4007
718024821,-0.0024636204,-0.0016102712,0.0013415967,3993,0,0.21208495,0.29205596,-9.615907,3993
718028822,-0.0018470109,-0.0021623836,0.0021984756,4001,0,0.21545036,0.29200512,-9.615328,4001
718032847,-0.0017207467,-0.0004396911,0.0014819085,4025,0,0.21428533,0.29751915,-9.628131,4025
718036821,-0.00044773018,-0.00012311693,0.0014184869,3974,0,0.21574666,0.30944484,-9.630347,3974
718040828,-0.0024274546,-9.9679375e-05,-1.0008392e-05,4007,0,0.2108776,0.29023495,-9.647818,4007
718044821,-0.00074205623,-0.0015985391,0.000636869,3993,0,0.20677838,0.28035578,-9.656153,3993
718048822,-0.00039859253,-0.0024312085,-0.00043370065,4001,0,0.21421193,0.29732054,-9.645722,4001
718052852,0.0006280924,-0.0013930701,0.001204637,4030,0,0.21872814,0.30489758,-9.613183,4030
718056821,-0.0029747235,-0.002138834,0.0011077106,3969,0,0.21023923,0.3086131,-9.638843,3969
718060828,-0.0024569808,-0.0025647448,0.0010093728,4007,0,0.21212971,0.28192508,-9.661191,4007
718064821,-0.0015530831,-0.0011091566,0.0033961693,3993,0,0.20679486,0.28479895,-9.636566,3993
718068822,-0.0013452499,-0.00068514544,0.0034059563,4001,0,0.21030606,0.28696328,-9.645736,4001
718072822,-0.00091826334,-0.00026257234,0.0035278422,4000,0,0.21764351,0.2829352,-9.669147,4000
718076821,-0.0022763899,0.0010323984,0.0024525253,3999,0,0.22649415,0.30289415,-9.637754,3999
718080831,0.00109589,-0.0031317163,0.003632385,4010,0,0.21221471,0.29201627,-9.6401615,4010
718084821,0.0014846531,-0.0024524368,0.0009942492,3990,0,0.21893427,0.28582966,-9.641979,3990
718088821,-0.00033570506,-0.0017192366,0.0015905068,4000,0,0.21693183,0.28810114,-9.659999,4000
718092828,0.00068303244,-0.0015342264,0.0033329169,4007,0,0.21799834,0.2870925,-9.662473,4007
718104822,-0.0012900764,-0.00034658218,0.0018062422,3958,0,0.19595954,0.29181632,-9.628633,3958
718108822,0.00042762762,-0.0004361317,0.00089629,4000,0,0.20849167,0.28808045,-9.632543,4000
